step,reward,ret_so_far
0,-4.3303952481016195,-4.3303952481016195
1,-4.092588666704987,-8.422983914806608
2,-3.6507359718463763,-12.073719886652984
3,-3.260960039596629,-15.334679926249613
4,-2.907363157289944,-18.242043083539556
5,-2.590195997176325,-20.83223908071588
6,-2.3532930560531637,-23.185532136769044
7,-2.1596804400398177,-25.345212576808862
8,-2.039209903339315,-27.384422480148178
9,-1.910003452454733,-29.294425932602913
10,-1.858584289046458,-31.15301022164937
11,-1.8299370592962232,-32.982947280945595
12,-1.9123592845868582,-34.89530656553245
13,-1.916722996233085,-36.812029561765534
14,-1.931512091516096,-38.74354165328163
15,-2.0347861752676604,-40.778327828549294
16,-2.1213094431200044,-42.8996372716693
17,-2.5917486063314907,-45.49138587800079
18,-3.0666869185647205,-48.55807279656551
19,-3.4249183462910286,-51.98299114285654
20,-3.71247140584393,-55.69546254870047
21,-3.8595038942915103,-59.55496644299198
22,-3.934278981947174,-63.489245424939156
23,-3.8402201391185424,-67.3294655640577
