Datetime_hour,step,A/C Set Temperature__E-10南2,A/C Mode__E-10南2,A/C Fan Speed__E-10南2,A/C ON/OFF__E-10南2,A/C Set Temperature__E-11南3,A/C Mode__E-11南3,A/C Fan Speed__E-11南3,A/C ON/OFF__E-11南3,A/C Set Temperature__E-12南4,A/C Mode__E-12南4,A/C Fan Speed__E-12南4,A/C ON/OFF__E-12南4,A/C Set Temperature__E-13北1,A/C Mode__E-13北1,A/C Fan Speed__E-13北1,A/C ON/OFF__E-13北1,A/C Set Temperature__E-14北2,A/C Mode__E-14北2,A/C Fan Speed__E-14北2,A/C ON/OFF__E-14北2,A/C Set Temperature__E-15北3,A/C Mode__E-15北3,A/C Fan Speed__E-15北3,A/C ON/OFF__E-15北3,A/C Set Temperature__E-16北4,A/C Mode__E-16北4,A/C Fan Speed__E-16北4,A/C ON/OFF__E-16北4,A/C Set Temperature__E-9南1,A/C Mode__E-9南1,A/C Fan Speed__E-9南1,A/C ON/OFF__E-9南1,pred__indoor_temp__E-10南2,pred__indoor_temp__E-11南3,pred__indoor_temp__E-12南4,pred__indoor_temp__E-13北1,pred__indoor_temp__E-14北2,pred__indoor_temp__E-15北3,pred__indoor_temp__E-16北4,pred__indoor_temp__E-9南1,pred__total_kwh__49-1,pred__total_kwh__49-2,pred__total_kwh__49-3,pred__total_kwh__49-4,pred__total_kwh__49-6,pred__total_kwh__49-7,pred__total_kwh__49-8,reward,ret_so_far
2025-09-10 07:00:00,0,22,1,4,1,22.0,2,3,1,21.0,0,1,1,24.0,0,3,1,23.0,0,0,1,24.0,0,2,1,23,2,2,1,23,0,3,1,25.856700897216797,25.22647476196289,25.439908981323242,26.473012924194336,26.05080795288086,25.165115356445312,24.905054092407227,25.79677963256836,23487.16796875,10818.66796875,4418.98486328125,14877.359375,5816.7060546875,8282.208984375,2384.85205078125,-3.114231824874878,-3.114231824874878
2025-09-10 08:00:00,1,22,1,1,1,22.0,0,4,0,20.0,2,1,1,23.0,0,3,1,23.5,1,3,1,24.0,2,2,1,23,2,4,1,23,0,4,1,25.187952041625977,24.93326187133789,23.683076858520508,25.209932327270508,25.41041374206543,24.595518112182617,25.547861099243164,26.031261444091797,17864.330078125,19487.73828125,12925.931640625,4117.50537109375,6687.7734375,7966.75048828125,1601.656982421875,-2.5749096870422363,-5.689141511917114
2025-09-10 09:00:00,2,22,1,1,1,21.5,0,4,0,20.0,2,0,1,22.5,0,2,1,23.5,1,3,1,24.0,2,4,1,23,2,4,1,23,0,2,1,25.143678665161133,25.12481117248535,23.592967987060547,25.30784797668457,25.313114166259766,24.48280906677246,24.754135131835938,25.36670684814453,18135.193359375,15675.642578125,12481.5556640625,2970.020263671875,6723.0361328125,8517.673828125,2002.5592041015625,-2.385758876800537,-8.074900388717651
2025-09-10 10:00:00,3,22,2,1,1,20.5,0,4,0,20.0,2,0,1,21.5,0,4,1,23.5,1,3,1,24.0,2,4,1,23,2,4,1,23,0,4,0,25.476640701293945,24.94027328491211,23.363645553588867,25.02716064453125,25.46527862548828,24.18905258178711,24.819589614868164,26.017662048339844,17531.5,16080.6611328125,13188.9306640625,1982.689697265625,4284.09326171875,7798.96240234375,1692.6839599609375,-2.4124128818511963,-10.487313270568848
2025-09-10 11:00:00,4,22,2,1,1,19.5,0,4,0,20.0,2,0,1,21.0,0,4,1,23.5,1,3,1,25.0,2,4,1,23,1,4,1,23,0,4,0,25.54835319519043,24.89485740661621,23.31109619140625,24.848474502563477,25.775819778442383,24.09562873840332,24.239673614501953,27.034677505493164,18237.7734375,15625.2841796875,13996.6591796875,1995.118896484375,3964.48486328125,6436.232421875,1053.8084716796875,-2.4685726165771484,-12.955885887145996
2025-09-10 12:00:00,5,22,2,1,1,19.5,0,4,0,20.0,2,0,1,21.0,0,4,1,23.5,1,3,1,25.5,2,4,1,23,1,4,1,23,0,4,0,25.416807174682617,24.88722801208496,23.44578742980957,24.55447769165039,25.587932586669922,24.183338165283203,24.356870651245117,26.840980529785156,17736.30078125,16721.61328125,12936.1416015625,1898.975341796875,3476.1123046875,5523.1767578125,1107.1044921875,-2.409177780151367,-15.365063667297363
2025-09-10 13:00:00,6,22,2,1,1,19.5,0,4,0,20.0,2,0,1,21.0,0,4,1,23.5,1,3,1,25.5,2,4,1,23,1,4,1,23,0,4,0,25.042285919189453,24.82796859741211,23.605310440063477,24.235187530517578,25.858421325683594,24.03551483154297,23.8709774017334,26.57575225830078,19209.12890625,17679.462890625,13182.31640625,1988.9296875,3506.3271484375,5689.55615234375,1128.95947265625,-2.25642728805542,-17.621490955352783
2025-09-10 14:00:00,7,22,2,1,1,19.5,0,4,0,20.0,2,0,1,21.0,0,4,1,23.5,1,3,1,25.5,2,4,1,23,1,4,1,23,0,4,0,25.10334587097168,24.440458297729492,23.231843948364258,23.450397491455078,25.33475685119629,23.725841522216797,23.65581703186035,25.601049423217773,20553.912109375,18370.544921875,13290.6220703125,2183.5458984375,3506.3271484375,5533.57373046875,1153.0322265625,-1.8179388046264648,-19.439429759979248
2025-09-10 15:00:00,8,22,2,1,1,19.5,0,4,0,20.0,2,0,1,21.0,0,4,1,23.5,1,3,1,25.5,2,4,1,23,2,4,1,23,0,4,0,24.632564544677734,24.31618881225586,22.977718353271484,23.432476043701172,25.047021865844727,23.798681259155273,23.464845657348633,25.756927490234375,19362.087890625,17679.462890625,13001.6708984375,2127.96533203125,3493.269775390625,5003.73779296875,1153.0322265625,-1.6783030033111572,-21.117732763290405
2025-09-10 16:00:00,9,22,1,1,1,19.5,0,4,0,20.0,2,0,1,21.0,0,4,1,23.5,1,3,1,25.5,2,4,1,23,2,4,1,23,0,4,0,24.118385314941406,23.943798065185547,22.97861671447754,23.2968692779541,24.882366180419922,23.600269317626953,23.16714096069336,24.914731979370117,19165.03125,17910.966796875,13349.0341796875,2490.541015625,4309.44580078125,5442.986328125,1118.532958984375,-1.3627722263336182,-22.480504989624023
